level,title,start_page,end_page,parent_chapter,major_chapter
5,Exit Application,441,442,Exit [Menu Item],9. Plant Simulation User Interface
5,Exiting if Plant Simulation Locks Up,443,443,Exit [Menu Item],9. Plant Simulation User Interface
4,Search [on File menu],444,444,File Menu Commands,9. Plant Simulation User Interface
4,Recent Files,445,445,File Menu Commands,9. Plant Simulation User Interface
3,Home Ribbon Tab,445,943,Ribbon Bar,9. Plant Simulation User Interface
4,Home Ribbon Tab,445,449,Home Ribbon Tab,9. Plant Simulation User Interface
4,Open Event Controller,450,450,Home Ribbon Tab,9. Plant Simulation User Interface
4,Event Controller,451,458,Home Ribbon Tab,9. Plant Simulation User Interface
5,Event Controller [Home ribbon],451,452,Event Controller,9. Plant Simulation User Interface
5,Reset Simulation [Home ribbon],453,453,Event Controller,9. Plant Simulation User Interface
5,Start/Stop Simulation [Home ribbon],454,454,Event Controller,9. Plant Simulation User Interface
5,Start Full Speed Simulation [Home ribbon],455,455,Event Controller,9. Plant Simulation User Interface
5,Start Fast Forward Simulation [Home ribbon],456,456,Event Controller,9. Plant Simulation User Interface
5,Single Step Simulation [Home ribbon],457,457,Event Controller,9. Plant Simulation User Interface
5,Simulation Speed [Home ribbon],458,458,Event Controller,9. Plant Simulation User Interface
4,MUs and States [Home ribbon],459,460,Home Ribbon Tab,9. Plant Simulation User Interface
4,Open Location [Home ribbon],461,461,Home Ribbon Tab,9. Plant Simulation User Interface
4,Open Origin [Home ribbon],462,462,Home Ribbon Tab,9. Plant Simulation User Interface
4,Open Class [Home ribbon],463,463,Home Ribbon Tab,9. Plant Simulation User Interface
4,Paste Contents of the Clipboard,463,466,Home Ribbon Tab,9. Plant Simulation User Interface
5,Paste Contents of the Clipboard [Home ribbon],463,464,Paste Contents of the Clipboard,9. Plant Simulation User Interface
5,Multiple Paste,465,466,Paste Contents of the Clipboard,9. Plant Simulation User Interface
4,Cut [Home ribbon],467,467,Home Ribbon Tab,9. Plant Simulation User Interface
4,Copy [Home ribbon],468,469,Home Ribbon Tab,9. Plant Simulation User Interface
4,Delete [Home ribbon],470,470,Home Ribbon Tab,9. Plant Simulation User Interface
4,Select All [Home ribbon],471,471,Home Ribbon Tab,9. Plant Simulation User Interface
4,Delete MUs [Home ribbon],472,472,Home Ribbon Tab,9. Plant Simulation User Interface
